PLAYER_NAME,DRAFT_YEAR,HEIGHT_WO_SHOES_FT_IN,PHYSICAL_SCORE_FINAL,SHOOTING_SCORE,PLAYMAKING_SCORE,DEFENSE_SCORE
jaylen nowell,2019,6' 3.25'',47.4,60.37172102875014,45.44222960850194,38.87960984704485
miye oni,2019,6' 4.25'',57.17,56.14329969328582,52.97321231532276,52.17729242225075
eric paschall,2019,6' 6'',57.84,50.297485421150434,37.3451701150924,32.44100323582654
reggie perry,2019,6' 8'',57.76,,,
shamorie ponds,2019,5' 11.5'',40.44,56.20418491490352,64.44240989705048,56.46070892937931
jordan poole,2019,6' 3.5'',46.02,58.13807860184527,43.78170454302881,34.03098686967989
neemias queta,2019,6' 10.75'',65.36,,,
naz reid,2019,6' 8.75'',64.36,44.68870798924064,28.010037382373323,43.45750372373228
isaiah roby,2019,6' 7.25'',60.33,41.2718693042812,38.33149172268882,67.94299156847399
admiral schofield,2019,6' 4'',54.93,56.083878992794176,39.74044082362073,38.326668643999
marial shayok,2019,6' 4.5'',60.17,62.82869355661272,35.883194213086334,32.1644922403362
simisola shittu,2019,6' 8.5'',57.76,23.60794001833509,36.56088440095776,39.89649511856795
tremont waters,2019,5' 9.5'',36.68,51.70377497773735,63.59960314153773,60.93999945725362
quinndary weatherspoon,2019,6' 3'',53.46,58.1275817865163,42.902260996323136,44.81557036972631
kris wilkes,2019,6' 6.25'',54.26,,,
grant williams,2019,6' 5.75'',53.81,46.34516650881466,50.61179807631673,58.10670090538972
dylan windler,2019,6' 6.25'',52.41,67.79066926424453,43.38182151697799,49.02934460510366
ty-shon alexander,2020,6'2.00'',52.53,64.15009131382105,45.15293502845671,38.48958695504978
udoka azubuike,2020,6'10.00'',71.28,20.0,27.86523219090942,74.09896209386284
tyler bey,2020,6'6.00'',60.95,52.48527757607819,33.21597450905832,65.38379865723192
yoeli childs,2020,6'6.00'',58.03,50.09854349570648,38.72787477114253,46.41847511079412
mamadi diakite,2020,6'8.50'',65.16,47.923052562153856,24.230097913372465,48.739245289163975
devon dotson,2020,6'0.50'',39.89,48.84602103507985,55.01350125642785,46.56047769971375
cj elleby,2020,6'5.50'',45.39,55.24301249026174,36.5092134490328,56.22445160031051
trent forrest,2020,6'3.50'',50.59,42.93052767567308,54.45008896232814,56.07086516017184
josh green,2020,6'4.50'',52.99,50.86897785611615,48.66519146212084,46.363300572957606
ashton hagans,2020,6'1.50'',53.41,40.55744468306666,66.12295682319623,46.77288938070138
markus howard,2020,5'9.50'',29.04,67.84957048423345,46.44922871550557,28.149055901778723
mason jones,2020,6'3.75'',47.72,56.27065574594803,47.4735990616772,42.365839249533686
nathan knight,2020,6'8.00'',62.23,44.34989014536963,35.395045384881044,58.37260318221098
naji marshall,2020,6'5.75'',60.73,40.73273284740659,50.73056432513277,39.85882944576561
skylar mays,2020,6'3.00'',45.14,60.4627704304,48.61424711128521,44.60230711180693
zeke nnaji,2020,6'9.25'',59.71,33.19402905550406,26.31515395237027,44.073117664559824
jordan nwora,2020,6'5.75'',53.9,61.74173604707212,30.182229297467927,32.09725145512888
reggie perry,2020,6'8.25'',57.76,44.81775644746337,39.18448527826949,51.07816307345486
immanuel quickley,2020,6'2.00'',52.03,69.65888515877963,39.73053278510381,30.174465571094057
nick richards,2020,6'10.50'',58.81,32.76367735823584,20.0,55.00308598088711
grant riller,2020,6'0.25'',45.85,55.32924000059011,52.00235394082279,44.010743829025735
cassius stanley,2020,6'5.00'',44.15,49.28005501402426,29.267925306980533,41.66233327985114
lamar stevens,2020,6'5.75'',49.82,37.63219252265793,39.53401799850102,54.03771431206642
tyrell terry,2020,6'1.50'',30.92,65.63965883155302,48.381893264546825,38.327189723922594
killian tillie,2020,6'8.75'',42.63,55.52518385013069,49.450391030577066,53.2928691902219
kaleb wesson,2020,6'9.25'',65.18,57.27049117882277,36.846619996891775,47.51851493796501
kahlil whitney,2020,6'5.50'',60.76,24.231415821239768,27.92766302141996,34.71178325120176
cassius winston,2020,6'0.50'',48.54,67.07531196892205,65.16288812573212,32.46118266857708
max abmas,2021,5'10.5'',33.92,70.75043787343866,52.68079499482582,37.3301291962968
ochai agbaji,2021,6'4.5'',56.19,52.57238654626854,40.84208512274274,38.541070920134594
marcus bagley,2021,6'6.0'',54.8,50.615790033296655,33.42037725068619,37.22720410092612
scottie barnes,2021,6'7.0'',65.05,32.054832049601885,61.98323335292063,56.29192312654479
charles bassey,2021,6'9.25'',64.95,41.93441959442282,25.462016325234124,74.79144736842106
justin champagnie,2021,6'5.75'',51.65,42.16945258001108,36.1583440862201,55.27368689842223
julian champagnie,2021,6'6.5'',53.51,,,
josh christopher,2021,6'3.25'',53.98,47.1576304686519,33.731035626899136,49.500447998407374
ayo dosunmu,2021,6'3.5'',56.14,53.9481082119907,59.6827050283819,34.55891758754244
kessler edwards,2021,6'7.0'',54.48,60.374424819239046,29.36590158422378,49.0550785993943
luka garza,2021,6'10.0'',57.06,57.11378600125474,38.49919700662384,54.57772344380666
raiquan gray,2021,6'6.5'',54.89,37.99631740400847,43.56757014951689,53.57282180166124
quentin grimes,2021,6'4.0'',50.29,62.50368392457101,39.81557767181673,41.93963673874576
sam hauser,2021,6'6.75'',48.23,68.00572890410862,43.505139846382335,30.973705698193942
aaron henry,2021,6'4.5'',56.81,42.38123728353175,51.0472873068604,56.17127963978699
nah'shon hyland,2021,6'2.0'',55.88,62.63248440841974,36.383729045690096,48.53248204014304
carlik jones,2021,6'0.0'',46.33,47.2972481675489,59.06940873398791,35.14621111345143
johnny juzang,2021,6'5.5'',56.26,59.18587708547747,36.35850199026508,32.067654580724145
corey kispert,2021,6'6.0'',44.19,70.58592273235324,41.10756019649933,36.08842144815061
aj lawson,2021,6'5.5'',42.91,44.93284890550963,64.17929723352114,33.12699001454447
scottie lewis,2021,6'4.0'',59.8,39.67487666368806,35.998737809402705,65.67132951724744
makur maker,2021,6'10.25'',58.45,42.82235042923711,39.36104384234211,38.22019914806258
sandro mamukelashvili,2021,6'9.0'',57.97,46.32030246046728,44.49269328786991,40.61831000147609
miles mcbride,2021,6'1.0'',55.75,60.185377404282434,64.25424615949049,47.14919758877498
isaiah mobley,2021,6'8.0'',64.2,44.88036562040841,40.80788166936379,40.8307837545764
yves pons,2021,6'5.5'',60.65,41.748576300061984,26.825025370163665,60.33381134508959
jason preston,2021,6'3.0'',52.56,45.929029930162486,70.27333408049665,42.733077826461184
joshua primo,2021,6'4.0'',54.57,55.01530175183374,29.15689950809955,35.5283232496773
neemias queta,2021,6'11.25'',65.36,30.342949061102125,45.86643044638916,79.30810529325635
austin reaves,2021,6'4.5'',42.78,50.543577569049134,56.59918742205792,33.04273881249728
jeremiah robinson-earl,2021,6'7.75'',50.02,38.61059588193244,42.4968600092527,40.53661326948317
jericho sims,2021,6'9.0'',62.98,21.323478137457577,27.116057001094678,55.13785500806872
jaden springer,2021,6'3.0'',50.5,60.05029966784798,50.97458417722643,46.25210988792439
dj steward,2021,6'0.75'',51.26,53.697939318560906,43.99432354032911,42.76179040239307
jt thor,2021,6'8.5'',64.82,42.48547925098305,30.000455303234176,64.9365600428087
trendon watford,2021,6'7.5'',62.62,36.91483476824461,44.523807397225326,41.324177832570015
joe wieskamp,2021,6'5.75'',55.54,60.16657597590604,40.03569683155696,37.397822174541446
aaron wiggins,2021,6'4.5'',54.05,52.74861454911134,43.95111183576892,40.28374518636486
ziaire williams,2021,6'8.25'',50.22,46.122905642143536,39.78704008526656,42.75220189675743
moses wright,2021,6'7.75'',58.82,47.36448879700665,43.280538803544815,61.14414463996384
marcus zegarowski,2021,6'0.75'',36.92,62.86526752622631,59.78065362783482,35.550160929092975
ochai agbaji,2022,6' 4.50'',56.19,,,
malaki branham,2022,6' 4.00'',55.73,60.78306043131813,41.68716566921092,31.83069671937829
christian braun,2022,6' 5.50'',41.2,51.72775899036391,46.30413023988338,42.47444281574168
